Thu Oct 15 10:26:06 IST 2020 domain:banking_cee user:Gus Holmes sessionId:d7-OUMBBQADHKHF clientIP:192.168.0.101 task:EVT_getConfirmation TYPE:GroovyAction@1d0d4d68
Thu Oct 15 10:26:34 IST 2020 domain:banking_cee user:Aubrey Wright sessionId:d8-A5EASXNU4QNJ clientIP:192.168.0.101 task:getUserProfile TYPE:GroovyAction@41bf4d5e
Thu Oct 15 10:26:57 IST 2020 domain:banking_cee user:Aubrey Wright sessionId:d8-A5EASXNU4QNJ clientIP:192.168.0.101 task:getCreditCardLimit TYPE:GroovyAction@6f18bd7
Thu Oct 15 10:27:31 IST 2020 domain:banking_cee user:Aubrey Wright sessionId:d8-A5EASXNU4QNJ clientIP:192.168.0.101 task:getTransactions TYPE:GroovyAction@6904424d
Thu Oct 15 10:28:06 IST 2020 domain:banking_cee user:Aubrey Wright sessionId:d8-A5EASXNU4QNJ clientIP:192.168.0.101 task:fundTransfer TYPE:GroovyAction@2f50d66d
Thu Oct 15 10:29:04 IST 2020 domain:banking_cee user:Aubrey Wright sessionId:d9-KVHGU7BILWYP clientIP:192.168.0.101 task:getUserProfile TYPE:GroovyAction@5bac3c3f
Thu Oct 15 10:30:15 IST 2020 domain:banking_cee user:Aubrey Wright sessionId:d10-ILVM9Q7RLUN8 clientIP:192.168.0.101 task:getUserProfile TYPE:GroovyAction@262d34d4
Thu Oct 15 10:31:27 IST 2020 domain:banking_cee user:Gus Holmes sessionId:d11-G8X4N5GK1HQA clientIP:192.168.0.101 task:getUserProfile TYPE:GroovyAction@11b71c56
Thu Oct 15 10:31:56 IST 2020 domain:banking_cee user:Gus Holmes sessionId:d11-G8X4N5GK1HQA clientIP:192.168.0.101 task:accountBalance TYPE:GroovyAction@4130aab
Thu Oct 15 10:32:29 IST 2020 domain:banking_cee user:Gus Holmes sessionId:d11-G8X4N5GK1HQA clientIP:192.168.0.101 task:getCreditCardLimit TYPE:GroovyAction@5155351c
Thu Oct 15 10:33:02 IST 2020 domain:banking_cee user:Gus Holmes sessionId:d12-G1MJ2EUGHQ9S clientIP:192.168.0.101 task:getUserProfile TYPE:GroovyAction@554ecb47
Thu Oct 15 10:34:00 IST 2020 domain:banking_cee user:Gus Holmes sessionId:d13-1RXXZMQWBXDW clientIP:192.168.0.101 task:getUserProfile TYPE:GroovyAction@6528b171
Thu Oct 15 10:34:33 IST 2020 domain:banking_cee user:Gus Holmes sessionId:d13-1RXXZMQWBXDW clientIP:192.168.0.101 task:accountBalance TYPE:GroovyAction@3bcba1cc
Thu Oct 15 10:35:01 IST 2020 domain:banking_cee user:Gus Holmes sessionId:d13-1RXXZMQWBXDW clientIP:192.168.0.101 task:getCreditCardLimit TYPE:GroovyAction@6ae83947
Thu Oct 15 10:35:38 IST 2020 domain:banking_cee user:Gus Holmes sessionId:d13-1RXXZMQWBXDW clientIP:192.168.0.101 task:EVT_getUserOption TYPE:GroovyAction@3a9f59b5
Thu Oct 15 10:36:13 IST 2020 domain:banking_cee user:Gus Holmes sessionId:d13-1RXXZMQWBXDW clientIP:192.168.0.101 task:EVT_getConfirmation TYPE:GroovyAction@64b76092
Thu Oct 15 10:36:35 IST 2020 domain:banking_cee user:Aubrey Wright sessionId:d14-SRM98ATTWEO2 clientIP:192.168.0.101 task:getUserProfile TYPE:GroovyAction@60ee3870
Thu Oct 15 10:36:57 IST 2020 domain:banking_cee user:Aubrey Wright sessionId:d14-SRM98ATTWEO2 clientIP:192.168.0.101 task:getCreditCardLimit TYPE:GroovyAction@4d23faf0
Thu Oct 15 10:37:30 IST 2020 domain:banking_cee user:Aubrey Wright sessionId:d14-SRM98ATTWEO2 clientIP:192.168.0.101 task:accountBalance TYPE:GroovyAction@5d0f5092
Thu Oct 15 10:38:06 IST 2020 domain:banking_cee user:Aubrey Wright sessionId:d14-SRM98ATTWEO2 clientIP:192.168.0.101 task:accountBalance TYPE:GroovyAction@5d0f5092
Thu Oct 15 10:38:43 IST 2020 domain:banking_cee user:Aubrey Wright sessionId:d14-SRM98ATTWEO2 clientIP:192.168.0.101 task:fundTransfer TYPE:GroovyAction@2e70ac8c
Thu Oct 15 10:39:10 IST 2020 domain:banking_cee user:Aubrey Wright sessionId:d15-1ZS0FI1S8YEL clientIP:192.168.0.101 task:getUserProfile TYPE:GroovyAction@360ba41b
Thu Oct 15 10:39:34 IST 2020 domain:banking_cee user:Aubrey Wright sessionId:d15-1ZS0FI1S8YEL clientIP:192.168.0.101 task:getCreditCardLimit TYPE:GroovyAction@4ad2175c
Thu Oct 15 10:40:09 IST 2020 domain:banking_cee user:Aubrey Wright sessionId:d15-1ZS0FI1S8YEL clientIP:192.168.0.101 task:fundTransfer TYPE:GroovyAction@60494654
Thu Oct 15 10:41:14 IST 2020 domain:banking_cee user:Homer Dixon sessionId:d16-GHIYXPLYTGIQ clientIP:192.168.0.101 task:getUserProfile TYPE:GroovyAction@3923b7cf
Thu Oct 15 10:41:35 IST 2020 domain:banking_cee user:Homer Dixon sessionId:d16-GHIYXPLYTGIQ clientIP:192.168.0.101 task:getCreditCardLimit TYPE:GroovyAction@1639b897
